InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
8084,10/13/2018 7:00:00 AM,359113621504,253618336,443341536,88.3944768,0.2738281,44.33415245,359113600000,253618300,443341500,88.39448,0.2738281,44.33415,359113600000,253618300,443341500,88.39448,0.2738281,44.33415,0
9049,10/26/2018 10:00:00 AM,448874912,879522,664990.25,6.6499025,6.6499025,6.6499025,448874900,879522,664990.3,6.649902,6.649902,6.649902,448874900,879522,664990.3,6.649902,6.649902,6.649902,0
9049,10/21/2018 1:00:00 PM,57514176,266682,60860.6484375,0.608606484375,0.608606484375,0.608606484375,57514180,266682,60860.65,0.6086065,0.6086065,0.6086065,57514180,266682,60860.65,0.6086065,0.6086065,0.6086065,0
9408,10/25/2018 11:00:00 PM,3327874816,3916602,4108411.25,41.0841125,41.0841125,41.0841125,3327875000,3916602,4108411,41.08411,41.08411,41.08411,3327875000,3916602,4108411,41.08411,41.08411,41.08411,0
8069,10/15/2018 9:00:00 PM,461279328,476544,488238.84375,0.09316546875,0.004482298828125,0.0488238837890625,461279300,476544,488238.8,0.09316547,0.004482299,0.04882389,461279300,476544,488238.8,0.09316547,0.004482299,0.04882389,0
8069,10/30/2018 3:00:00 PM,424009056,409162,523690.84375,0.10032375,0.00441442109375,0.052369085546875,424009100,409162,523690.8,0.1003238,0.004414421,0.05236908,424009100,409162,523690.8,0.1003238,0.004414421,0.05236908,0
8990,10/23/2018 10:00:00 PM,5889249792,10374508,6231921.5,62.319215,62.319215,62.319215,5889250000,10374510,6231922,62.31921,62.31921,62.31921,5889250000,10374510,6231922,62.31921,62.31921,62.31921,0
9369,10/30/2018 4:00:00 AM,1548893824,4743216,1951899.75,19.5189975,19.5189975,19.5189975,1548894000,4743216,1951900,19.519,19.519,19.519,1548894000,4743216,1951900,19.519,19.519,19.519,1
9369,10/28/2018 11:00:00 AM,957584768,440926,1013303.25,10.1330325,10.1330325,10.1330325,957584800,440926,1013303,10.13303,10.13303,10.13303,957584800,440926,1013303,10.13303,10.13303,10.13303,0
8156,10/17/2018 7:00:00 AM,460530976,504295,487320.59375,0.093854225,0.00360989453125,0.048732059765625,460531000,504295,487320.6,0.09385423,0.003609895,0.04873206,460531000,504295,487320.6,0.09385423,0.003609895,0.04873206,0
