NodeID,Vendor,Location,IOSVersion,SystemUpTime,ResponseTime,PercentLoss,AvgResponseTime,MinResponseTime,MaxResponseTime,CPUCount,CPULoad,MemoryUsed,MemoryAvailable,PercentMemoryUsed,PercentMemoryAvailable,MachineType,IsServer,TotalMemory,SumTriggers
1815,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",25484,0,0,0,0,1,4,0,2314579968,6.274884E+09,26,74,"Windows 2016 Server",True,8.589464E+09,1383
1820,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",24100,0,0,12,0,119,4,68,3598405632,4.991058E+09,41,59,"Windows 2016 Server",True,8.589464E+09,1114
1824,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",109,0,0,0,0,0,4,10,2211368960,6.378095E+09,25,75,"Windows 2016 Server",True,8.589464E+09,1024
1826,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",47672,0,0,0,0,1,4,52,3264430080,5.325034E+09,38,62,"Windows 2016 Server",True,8.589464E+09,1312
1827,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",51902,0,0,0,0,4,4,1,3076546560,5.512918E+09,35,65,"Windows 2016 Server",True,8.589464E+09,786
1829,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",17673,0,0,0,0,1,4,0,2827038720,5.762425E+09,32,68,"Windows 2016 Server",True,8.589464E+09,897
1831,Windows,AUS,,966631,0,0,0,0,0,24,0,106061332480,1.000308E+11,51,49,"Hyper-V Server",False,2.060921E+11,883
1835,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",317819,6,0,3,0,19,2,97,4950503424,3.638961E+09,57,43,"Windows 2016 Server",True,8.589464E+09,501
1844,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",973206,0,0,0,0,1,4,2,5694631936,2.894832E+09,66,34,"Windows 2016 Server",True,8.589464E+09,10766
1851,net-snmp,Unknown,,5209902.5,0,0,0,0,1,12,17,17163816960,5.039542E+10,25,75,"net-snmp - Linux",True,6.755924E+10,1931
1849,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",973372,0,0,0,0,5,4,2,7193817088,1.395647E+09,83,17,"Windows 2016 Server",True,8.589464E+09,1816
1852,net-snmp,Unknown,,40110308,0,0,0,0,0,4,1,1400479744,4.857479E+09,22,78,"net-snmp - Linux",True,6.257959E+09,377
